,name,genre,type,anime_name,anime_size,popularity,combined,id
1360,minamikebetsubara,"['comedy', ' slice of life']",OVA,Minami-ke Betsubara,tiny,high, minamikebetsubara comedy  slice of life OVA tiny high ,1360
1361,nisekoiova,"['comedy', ' harem', ' romance', ' school', ' shounen']",OVA,Nisekoi OVA,small,high, nisekoiova comedy  harem  romance  school  shounen OVA small high ,1361
1362,nodamecantabileova,"['comedy', ' josei', ' music', ' romance', ' slice of life']",OVA,Nodame Cantabile OVA,tiny,high, nodamecantabileova comedy  josei  music  romance  slice of life OVA tiny high ,1362
1363,paniponidash,"['comedy', ' parody', ' school']",TV,Paniponi Dash ,small,high, paniponidash comedy  parody  school TV small high ,1363
1364,rozenmaiden,"['action', ' comedy', ' drama', ' magic', ' seinen']",TV,Rozen Maiden,small,veryhigh, rozenmaiden action  comedy  drama  magic  seinen TV small veryhigh ,1364
1365,saki,"['game', ' school', ' slice of life']",TV,Saki,small,high, saki game  school  slice of life TV small high ,1365
1366,sengokubasara,"['action', ' historical', ' martial arts', ' samurai', ' super power']",TV,Sengoku Basara,small,high, sengokubasara action  historical  martial arts  samurai  super power TV small high ,1366
1367,shashinkan,"['drama', ' historical', ' slice of life']",Movie,Shashinkan,tiny,moderate, shashinkan drama  historical  slice of life Movie tiny moderate ,1367
1368,supergalskotobukiran,"['comedy', ' shoujo', ' slice of life']",TV,Super GALS  Kotobuki Ran,medium,high, supergalskotobukiran comedy  shoujo  slice of life TV medium high ,1368
1369,thebigo,"['action', ' mecha', ' mystery', ' psychological', ' sci-fi']",TV,The Big O,small,high, thebigo action  mecha  mystery  psychological  sci-fi TV small high ,1369
1370,topwoneraeamptopwonerae2gattaimovie,"['comedy', ' mecha', ' shounen']",Movie,Top wo Nerae   amp  Top wo Nerae 2  Gattai Movie  ,small,moderate, topwoneraeamptopwonerae2gattaimovie comedy  mecha  shounen Movie small moderate ,1370
1371,yugiohduelmonsters,"['adventure', ' game', ' shounen']",TV,Yu☆Gi☆Oh  Duel Monsters,verylarge,veryhigh, yugiohduelmonsters adventure  game  shounen TV verylarge veryhigh ,1371
1372,ariathenaturalsonofutatabideaerukisekini,"['fantasy', ' sci-fi', ' shounen', ' slice of life']",Special,Aria The Natural: Sono Futatabi Deaeru Kiseki ni   ,tiny,high, ariathenaturalsonofutatabideaerukisekini fantasy  sci-fi  shounen  slice of life Special tiny high ,1372
1373,carnivalphantasmexseason,"['comedy', ' supernatural']",OVA,Carnival Phantasm EX Season,tiny,high, carnivalphantasmexseason comedy  supernatural OVA tiny high ,1373
1374,charlottetsuyoimonotachi,"['school', ' super power']",Special,Charlotte: Tsuyoi Monotachi,tiny,high, charlottetsuyoimonotachi school  super power Special tiny high ,1374
1375,cityhunterthesecretservice,"['action', ' comedy', ' mystery', ' shounen']",Special,City Hunter: The Secret Service,tiny,moderate, cityhunterthesecretservice action  comedy  mystery  shounen Special tiny moderate ,1375
1376,datealivemoviemayurijudgment,"['harem', ' romance', ' sci-fi']",Movie,Date A Live Movie: Mayuri Judgment,tiny,high, datealivemoviemayurijudgment harem  romance  sci-fi Movie tiny high ,1376
1377,detectiveconanova06followthevanisheddiamondconanampheijivskid,"['comedy', ' mystery', ' police', ' shounen']",OVA,Detective Conan OVA 06: Follow the Vanished Diamond  Conan  amp  Heiji vs  Kid ,tiny,moderate, detectiveconanova06followthevanisheddiamondconanampheijivskid comedy  mystery  police  shounen OVA tiny moderate ,1377
1378,doraemonmovie26nobitanokyouryuu2006,"['adventure', ' comedy', ' kids']",Movie,Doraemon Movie 26: Nobita no Kyouryuu 2006,tiny,moderate, doraemonmovie26nobitanokyouryuu2006 adventure  comedy  kids Movie tiny moderate ,1378
1379,genshikennidaime,"['comedy', ' parody', ' slice of life']",TV,Genshiken Nidaime,small,high, genshikennidaime comedy  parody  slice of life TV small high ,1379
1380,gokinjomonogatari,"['comedy', ' drama', ' romance', ' slice of life']",TV,Gokinjo Monogatari,small,moderate, gokinjomonogatari comedy  drama  romance  slice of life TV small moderate ,1380
1381,hetaliaaxispowersfandisc,"['comedy', ' historical', ' parody']",OVA,Hetalia Axis Powers Fan Disc,small,moderate, hetaliaaxispowersfandisc comedy  historical  parody OVA small moderate ,1381
1382,higashinoedenfallingdown,['music'],Music,Higashi no Eden: Falling Down,tiny,moderate, higashinoedenfallingdown music Music tiny moderate ,1382
1383,higurashinonakukoronirei,"['comedy', ' mystery', ' psychological', ' supernatural', ' thriller']",OVA,Higurashi no Naku Koro ni Rei,small,high, higurashinonakukoronirei comedy  mystery  psychological  supernatural  thriller OVA small high ,1383
1384,karanokyoukaimiraifukuinextrachorus,"['drama', ' mystery', ' seinen', ' supernatural']",Special,Kara no Kyoukai: Mirai Fukuin - Extra Chorus,tiny,high, karanokyoukaimiraifukuinextrachorus drama  mystery  seinen  supernatural Special tiny high ,1384
1385,kerorogunsoumovie4gekishindragonwarriorsdearimasu,['comedy'],Movie,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu ,tiny,moderate, kerorogunsoumovie4gekishindragonwarriorsdearimasu comedy Movie tiny moderate ,1385
1386,mobilesuitgundamiisoldiersofsorrow,"['action', ' drama', ' mecha', ' military', ' sci-fi', ' space']",Movie,Mobile Suit Gundam II: Soldiers of Sorrow,tiny,high, mobilesuitgundamiisoldiersofsorrow action  drama  mecha  military  sci-fi  space Movie tiny high ,1386
1387,momokokaerunoutagakikoeruyo,"['drama', ' school', ' slice of life']",Movie,Momoko  Kaeru no Uta ga Kikoeru yo ,tiny,moderate, momokokaerunoutagakikoeruyo drama  school  slice of life Movie tiny moderate ,1387
1388,nihonanimatormihonichi,"['action', ' dementia', ' ecchi', ' fantasy', ' mecha', ' military', ' music', ' school', ' sci-fi', ' space', ' supernatural']",ONA,Nihon Animator Mihonichi,small,high, nihonanimatormihonichi action  dementia  ecchi  fantasy  mecha  military  music  school  sci-fi  space  supernatural ONA small high ,1388
1389,orangemirai,"['drama', ' romance', ' school', ' sci-fi', ' shoujo']",Movie,Orange: Mirai,tiny,high, orangemirai drama  romance  school  sci-fi  shoujo Movie tiny high ,1389
1390,saiyuukireloadgunlock,"['action', ' adventure', ' comedy', ' fantasy', ' shoujo']",TV,Saiyuuki Reload Gunlock,small,high, saiyuukireloadgunlock action  adventure  comedy  fantasy  shoujo TV small high ,1390
1391,simoun,"['drama', ' magic', ' military', ' romance', ' shoujo ai']",TV,Simoun,small,high, simoun drama  magic  military  romance  shoujo ai TV small high ,1391
1392,sugarsugarrune,"['fantasy', ' magic', ' shoujo']",TV,Sugar Sugar Rune,medium,high, sugarsugarrune fantasy  magic  shoujo TV medium high ,1392
1393,tanoshiimuuminikkaboukennikki,"['adventure', ' fantasy', ' kids', ' slice of life']",TV,Tanoshii Muumin Ikka Bouken Nikki,small,moderate, tanoshiimuuminikkaboukennikki adventure  fantasy  kids  slice of life TV small moderate ,1393
1394,tasogareotomexamnesiataimaotome,"['horror', ' mystery', ' romance', ' school', ' shounen', ' supernatural']",Special,Tasogare Otome x Amnesia: Taima Otome,tiny,high, tasogareotomexamnesiataimaotome horror  mystery  romance  school  shounen  supernatural Special tiny high ,1394
1395,tenshinotamago,"['dementia', ' drama', ' fantasy']",OVA,Tenshi no Tamago,tiny,high, tenshinotamago dementia  drama  fantasy OVA tiny high ,1395
1396,tetsuwanbirdydecode,"['action', ' comedy', ' sci-fi']",TV,Tetsuwan Birdy Decode,small,high, tetsuwanbirdydecode action  comedy  sci-fi TV small high ,1396
1397,toarukagakunorailgunmisakasanwaimachuumokunomatodesukara,"['action', ' sci-fi', ' super power']",OVA,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desukara,tiny,high, toarukagakunorailgunmisakasanwaimachuumokunomatodesukara action  sci-fi  super power OVA tiny high ,1397
1398,wagaseishunnoarcadiamugenkidoussx,"['action', ' adventure', ' drama', ' sci-fi', ' space']",TV,Waga Seishun no Arcadia: Mugen Kidou SSX,small,moderate, wagaseishunnoarcadiamugenkidoussx action  adventure  drama  sci-fi  space TV small moderate ,1398
1399,x,"['action', ' drama', ' fantasy', ' magic', ' romance', ' shoujo', ' super power']",TV,X,small,high, x action  drama  fantasy  magic  romance  shoujo  super power TV small high ,1399
1400,zipang,"['action', ' drama', ' historical', ' military', ' sci-fi', ' seinen']",TV,Zipang,small,moderate, zipang action  drama  historical  military  sci-fi  seinen TV small moderate ,1400
1401,akb0048,"['music', ' sci-fi']",TV,AKB0048,small,high, akb0048 music  sci-fi TV small high ,1401
1402,aokihaganenoarpeggioarsnova,"['action', ' sci-fi', ' seinen']",TV,Aoki Hagane no Arpeggio: Ars Nova,small,high, aokihaganenoarpeggioarsnova action  sci-fi  seinen TV small high ,1402
1403,bloodlad,"['action', ' comedy', ' demons', ' seinen', ' supernatural', ' vampire']",TV,Blood Lad,small,veryhigh, bloodlad action  comedy  demons  seinen  supernatural  vampire TV small veryhigh ,1403
1404,captainharlock,"['action', ' drama', ' sci-fi', ' space']",Movie,Captain Harlock,tiny,high, captainharlock action  drama  sci-fi  space Movie tiny high ,1404
1405,cityhunterhyakumandollarnoinbou,"['action', ' comedy', ' mystery', ' shounen']",OVA,City Hunter: Hyakuman Dollar no Inbou,tiny,moderate, cityhunterhyakumandollarnoinbou action  comedy  mystery  shounen OVA tiny moderate ,1405
1406,codegeassboukokunoakito4nikushiminokiokukara,"['action', ' mecha', ' military']",Movie,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara,tiny,high, codegeassboukokunoakito4nikushiminokiokukara action  mecha  military Movie tiny high ,1406
1407,dannagananiwoitteirukawakaranaiken,"['comedy', ' seinen', ' slice of life']",TV,Danna ga Nani wo Itteiru ka Wakaranai Ken,small,veryhigh, dannagananiwoitteirukawakaranaiken comedy  seinen  slice of life TV small veryhigh ,1407
1408,datealivedatetodate,"['comedy', ' harem', ' romance', ' school', ' sci-fi']",OVA,Date A Live: Date to Date,tiny,high, datealivedatetodate comedy  harem  romance  school  sci-fi OVA tiny high ,1408
1409,dragonballzmovie15fukkatsunof,"['action', ' adventure', ' comedy', ' fantasy', ' martial arts', ' shounen', ' super power']",Movie,Dragon Ball Z Movie 15: Fukkatsu no F,tiny,high, dragonballzmovie15fukkatsunof action  adventure  comedy  fantasy  martial arts  shounen  super power Movie tiny high ,1409
1410,efataleofmemoriesrecollections,"['drama', ' mystery', ' romance']",Special,ef: A Tale of Memories  - Recollections,tiny,moderate, efataleofmemoriesrecollections drama  mystery  romance Special tiny moderate ,1410
1411,fairytailova2016,"['comedy', ' ecchi', ' fantasy', ' magic', ' shounen']",OVA,Fairy Tail OVA (2016),small,high, fairytailova2016 comedy  ecchi  fantasy  magic  shounen OVA small high ,1411
1412,fullmetalpanicthesecondraidepisode000,"['action', ' adventure', ' mecha', ' military']",Special,Full Metal Panic  The Second Raid Episode 000,tiny,high, fullmetalpanicthesecondraidepisode000 action  adventure  mecha  military Special tiny high ,1412
1413,godeater,"['action', ' fantasy', ' military', ' sci-fi']",TV,God Eater,small,veryhigh, godeater action  fantasy  military  sci-fi TV small veryhigh ,1413
1414,gunslingergirl,"['action', ' drama', ' military', ' psychological', ' sci-fi']",TV,Gunslinger Girl,small,veryhigh, gunslingergirl action  drama  military  psychological  sci-fi TV small veryhigh ,1414
1415,hinoamegafuru,"['drama', ' historical']",Movie,Hi no Ame ga Furu,tiny,low, hinoamegafuru drama  historical Movie tiny low ,1415
1416,himoutoumaruchan,"['comedy', ' school', ' seinen', ' slice of life']",TV,Himouto  Umaru-chan,small,veryhigh, himoutoumaruchan comedy  school  seinen  slice of life TV small veryhigh ,1416
1417,hokutonokenzerokenshirouden,['martial arts'],Movie,Hokuto no Ken Zero: Kenshirou Den,tiny,moderate, hokutonokenzerokenshirouden martial arts Movie tiny moderate ,1417
1418,joshiraku,"['comedy', ' slice of life']",TV,Joshiraku,small,high, joshiraku comedy  slice of life TV small high ,1418
1419,kaichouwamaidsamaomakedayo,"['comedy', ' school', ' shoujo']",Special,Kaichou wa Maid-sama : Omake dayo ,tiny,high, kaichouwamaidsamaomakedayo comedy  school  shoujo Special tiny high ,1419
1420,kaikanphrase,"['drama', ' music', ' romance', ' shoujo']",TV,Kaikan Phrase,small,moderate, kaikanphrase drama  music  romance  shoujo TV small moderate ,1420
1421,kuroshitsujiii,"['action', ' comedy', ' demons', ' fantasy', ' shounen', ' supernatural']",TV,Kuroshitsuji II,small,veryhigh, kuroshitsujiii action  comedy  demons  fantasy  shounen  supernatural TV small veryhigh ,1421
1422,lodosstousenki,"['action', ' adventure', ' fantasy', ' magic', ' shounen', ' supernatural']",OVA,Lodoss-tou Senki,small,high, lodosstousenki action  adventure  fantasy  magic  shounen  supernatural OVA small high ,1422
1423,lupiniiiotakarahenkyakudaisakusen,"['adventure', ' comedy', ' shounen']",Special,Lupin III: Otakara Henkyaku Daisakusen  ,tiny,moderate, lupiniiiotakarahenkyakudaisakusen adventure  comedy  shounen Special tiny moderate ,1423
1424,mariasamagamiteruspecials,"['drama', ' romance', ' school', ' shoujo', ' shoujo ai', ' slice of life']",Special,Maria-sama ga Miteru Specials,small,moderate, mariasamagamiteruspecials drama  romance  school  shoujo  shoujo ai  slice of life Special small moderate ,1424
1425,masudakousukegekijougagmangabiyori2,['comedy'],TV,Masuda Kousuke Gekijou Gag Manga Biyori 2,small,moderate, masudakousukegekijougagmangabiyori2 comedy TV small moderate ,1425
1426,mobilesuitgundamseeddestinyfinalplusthechosenfuture,"['drama', ' mecha', ' military', ' sci-fi', ' space']",OVA,Mobile Suit Gundam Seed Destiny Final Plus: The Chosen Future,tiny,high, mobilesuitgundamseeddestinyfinalplusthechosenfuture drama  mecha  military  sci-fi  space OVA tiny high ,1426
1427,mobilesuitgundamunicornre0096,"['action', ' drama', ' mecha', ' military', ' sci-fi', ' space']",TV,Mobile Suit Gundam Unicorn RE:0096,small,moderate, mobilesuitgundamunicornre0096 action  drama  mecha  military  sci-fi  space TV small moderate ,1427
1428,onepieceromancedawnstory,"['action', ' comedy', ' fantasy', ' shounen', ' super power']",OVA,One Piece: Romance Dawn Story,tiny,high, onepieceromancedawnstory action  comedy  fantasy  shounen  super power OVA tiny high ,1428
1429,orenonounaisentakushigagakuenlovecomedywozenryokudejamashiteiru,"['comedy', ' romance', ' school']",TV,Ore no Nounai Sentakushi ga  Gakuen Love Comedy wo Zenryoku de Jama Shiteiru,small,veryhigh, orenonounaisentakushigagakuenlovecomedywozenryokudejamashiteiru comedy  romance  school TV small veryhigh ,1429
1430,rahxephon,"['action', ' drama', ' mecha', ' music', ' mystery', ' psychological', ' romance', ' sci-fi']",TV,RahXephon,small,high, rahxephon action  drama  mecha  music  mystery  psychological  romance  sci-fi TV small high ,1430
1431,shinryakuikamusume,"['comedy', ' shounen', ' slice of life']",OVA,Shinryaku   Ika Musume,small,high, shinryakuikamusume comedy  shounen  slice of life OVA small high ,1431
1432,sunabouzu,"['action', ' adventure', ' comedy', ' ecchi', ' sci-fi', ' shounen']",TV,Sunabouzu,small,high, sunabouzu action  adventure  comedy  ecchi  sci-fi  shounen TV small high ,1432
1433,tegamibachihikaritoaonogensouyawa,"['adventure', ' fantasy', ' shounen', ' slice of life', ' supernatural']",Special,Tegamibachi: Hikari to Ao no Gensou Yawa,tiny,high, tegamibachihikaritoaonogensouyawa adventure  fantasy  shounen  slice of life  supernatural Special tiny high ,1433
1434,tonarinosekikunspecials,"['comedy', ' school', ' seinen']",Special,Tonari no Seki-kun Specials,small,high, tonarinosekikunspecials comedy  school  seinen Special small high ,1434
1435,truetears,"['drama', ' romance', ' school']",TV,True Tears,small,veryhigh, truetears drama  romance  school TV small veryhigh ,1435
1436,quotbungakushoujoquotmemoire,"['drama', ' romance', ' school']",OVA, quot Bungaku Shoujo quot  Memoire,small,high, quotbungakushoujoquotmemoire drama  romance  school OVA small high ,1436
1437,bobobobobobobo,"['adventure', ' comedy', ' sci-fi', ' shounen']",TV,Bobobo-bo Bo-bobo,medium,high, bobobobobobobo adventure  comedy  sci-fi  shounen TV medium high ,1437
1438,bokuragaita,"['drama', ' romance', ' shoujo', ' slice of life']",TV,Bokura ga Ita,small,veryhigh, bokuragaita drama  romance  shoujo  slice of life TV small veryhigh ,1438
1439,choudenjimachinevoltesv,"['action', ' adventure', ' drama', ' mecha', ' sci-fi', ' shounen']",TV,Chou Denji Machine Voltes V,small,moderate, choudenjimachinevoltesv action  adventure  drama  mecha  sci-fi  shounen TV small moderate ,1439
1440,chouyakuhyakuninisshuutakoi,"['historical', ' josei', ' romance']",TV,Chouyaku Hyakuninisshu: Uta Koi ,small,high, chouyakuhyakuninisshuutakoi historical  josei  romance TV small high ,1440
1441,codegeassboukokunoakito2hikisakareshiyokuryuupicturedrama,"['action', ' comedy', ' military']",Special,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,tiny,moderate, codegeassboukokunoakito2hikisakareshiyokuryuupicturedrama action  comedy  military Special tiny moderate ,1441
1442,datealive,"['comedy', ' harem', ' mecha', ' romance', ' school', ' sci-fi']",TV,Date A Live,small,veryhigh, datealive comedy  harem  mecha  romance  school  sci-fi TV small veryhigh ,1442
1443,doraemonmovie28nobitatomidorinokyojinden,"['adventure', ' comedy', ' fantasy', ' kids', ' shounen']",Movie,Doraemon Movie 28: Nobita to Midori no Kyojin Den,tiny,moderate, doraemonmovie28nobitatomidorinokyojinden adventure  comedy  fantasy  kids  shounen Movie tiny moderate ,1443
1444,dragonballzmovie13ryuukenbakuhatsugokugayaranebadaregayaru,"['adventure', ' comedy', ' fantasy', ' sci-fi', ' shounen']",Movie,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu   Goku ga Yaraneba Dare ga Yaru,tiny,high, dragonballzmovie13ryuukenbakuhatsugokugayaranebadaregayaru adventure  comedy  fantasy  sci-fi  shounen Movie tiny high ,1444
1445,fairytailxrave,"['action', ' adventure', ' comedy', ' fantasy', ' magic', ' shounen']",OVA,Fairy Tail x Rave,tiny,high, fairytailxrave action  adventure  comedy  fantasy  magic  shounen OVA tiny high ,1445
1446,futuregpxcyberformula,"['adventure', ' sci-fi', ' shounen', ' sports']",TV,Future GPX Cyber Formula,small,moderate, futuregpxcyberformula adventure  sci-fi  shounen  sports TV small moderate ,1446
1447,himechannoribbon,"['comedy', ' fantasy', ' magic', ' romance', ' school', ' shoujo']",TV,Hime-chan no Ribbon,medium,moderate, himechannoribbon comedy  fantasy  magic  romance  school  shoujo TV medium moderate ,1447
1448,hokutonokenraohgaidenjunaihen,"['action', ' adventure', ' martial arts']",Movie,Hokuto no Ken: Raoh Gaiden Junai-hen,tiny,moderate, hokutonokenraohgaidenjunaihen action  adventure  martial arts Movie tiny moderate ,1448
1449,initialdextrastage2,"['action', ' cars', ' drama', ' seinen', ' sports']",OVA,Initial D Extra Stage 2,tiny,high, initialdextrastage2 action  cars  drama  seinen  sports OVA tiny high ,1449
1450,karas,"['action', ' fantasy', ' sci-fi']",OVA,Karas,small,high, karas action  fantasy  sci-fi OVA small high ,1450
1451,nanatsunouminotico,"['adventure', ' slice of life']",TV,Nanatsu no Umi no Tico,small,moderate, nanatsunouminotico adventure  slice of life TV small moderate ,1451
1452,ookikufurikabuttenatsunotaikaihenspecial,"['comedy', ' sports']",Special,Ookiku Furikabutte: Natsu no Taikai-hen Special,tiny,moderate, ookikufurikabuttenatsunotaikaihenspecial comedy  sports Special tiny moderate ,1452
1453,puchipuriyuushi,"['comedy', ' fantasy', ' magic', ' shoujo']",TV,Puchi Puri Yuushi,small,moderate, puchipuriyuushi comedy  fantasy  magic  shoujo TV small moderate ,1453
1454,saiyuukireload,"['action', ' adventure', ' comedy', ' drama', ' fantasy', ' shoujo']",TV,Saiyuuki Reload,small,high, saiyuukireload action  adventure  comedy  drama  fantasy  shoujo TV small high ,1454
1455,shigurui,"['action', ' drama', ' historical', ' martial arts', ' samurai', ' seinen']",TV,Shigurui,small,high, shigurui action  drama  historical  martial arts  samurai  seinen TV small high ,1455
1456,superlovers,"['comedy', ' drama', ' romance', ' shounen ai', ' slice of life']",TV,Super Lovers,small,high, superlovers comedy  drama  romance  shounen ai  slice of life TV small high ,1456
1457,tamayuramoreaggressive,"['comedy', ' drama', ' slice of life']",TV,Tamayura: More Aggressive,small,high, tamayuramoreaggressive comedy  drama  slice of life TV small high ,1457
1458,tenchimuyou,"['comedy', ' harem', ' romance', ' sci-fi', ' shounen', ' space']",TV,Tenchi Muyou ,small,high, tenchimuyou comedy  harem  romance  sci-fi  shounen  space TV small high ,1458
1459,tigerampbunnymovie1thebeginning,"['action', ' comedy', ' mystery', ' super power']",Movie,Tiger  amp  Bunny Movie 1: The Beginning,tiny,high, tigerampbunnymovie1thebeginning action  comedy  mystery  super power Movie tiny high ,1459
1460,toradorabentounogokui,"['comedy', ' romance', ' school', ' slice of life']",Special,Toradora : Bentou no Gokui,tiny,high, toradorabentounogokui comedy  romance  school  slice of life Special tiny high ,1460
1461,vandreadthesecondstage,"['action', ' ecchi', ' mecha', ' sci-fi', ' shounen', ' space']",TV,Vandread: The Second Stage,small,high, vandreadthesecondstage action  ecchi  mecha  sci-fi  shounen  space TV small high ,1461
1462,wanganmidnight,"['action', ' cars', ' seinen', ' sports']",TV,Wangan Midnight,small,high, wanganmidnight action  cars  seinen  sports TV small high ,1462
1463,aokidensetsushoot,"['action', ' comedy', ' drama', ' romance', ' school', ' shounen', ' sports']",TV,Aoki Densetsu Shoot ,medium,moderate, aokidensetsushoot action  comedy  drama  romance  school  shounen  sports TV medium moderate ,1463
1464,ashitanojoe2movie,"['drama', ' sports']",Movie,Ashita no Joe 2 (Movie),tiny,moderate, ashitanojoe2movie drama  sports Movie tiny moderate ,1464
1465,cowboybebopyoseatsumeblues,"['action', ' adventure', ' comedy', ' drama', ' sci-fi', ' space']",Special,Cowboy Bebop: Yose Atsume Blues,tiny,high, cowboybebopyoseatsumeblues action  adventure  comedy  drama  sci-fi  space Special tiny high ,1465
1466,gundambuildfighterstry,"['action', ' mecha', ' sci-fi']",TV,Gundam Build Fighters Try,small,high, gundambuildfighterstry action  mecha  sci-fi TV small high ,1466
1467,hiyokoi,"['romance', ' school', ' shoujo']",Special,Hiyokoi,tiny,high, hiyokoi romance  school  shoujo Special tiny high ,1467
1468,hoshinokoe,"['drama', ' mecha', ' romance', ' sci-fi', ' space']",OVA,Hoshi no Koe,tiny,high, hoshinokoe drama  mecha  romance  sci-fi  space OVA tiny high ,1468
1469,kamisamanoinainichiyoubi,"['fantasy', ' mystery']",TV,Kamisama no Inai Nichiyoubi,small,veryhigh, kamisamanoinainichiyoubi fantasy  mystery TV small veryhigh ,1469
1470,magicknightrayearth,"['adventure', ' comedy', ' drama', ' fantasy', ' magic', ' mecha', ' romance', ' shoujo']",TV,Magic Knight Rayearth,small,high, magicknightrayearth adventure  comedy  drama  fantasy  magic  mecha  romance  shoujo TV small high ,1470
1471,mayochiki,"['comedy', ' ecchi', ' harem', ' romance', ' school']",TV,Mayo Chiki ,small,veryhigh, mayochiki comedy  ecchi  harem  romance  school TV small veryhigh ,1471
1472,narutoshippuudenmovie4thelosttower,"['action', ' comedy', ' martial arts', ' shounen', ' super power']",Movie,Naruto: Shippuuden Movie 4 - The Lost Tower,tiny,high, narutoshippuudenmovie4thelosttower action  comedy  martial arts  shounen  super power Movie tiny high ,1472
1473,nitaboh,"['historical', ' music']",Movie,Nitaboh,tiny,moderate, nitaboh historical  music Movie tiny moderate ,1473
1474,palecocoon,"['drama', ' sci-fi']",OVA,Pale Cocoon,tiny,high, palecocoon drama  sci-fi OVA tiny high ,1474
1475,sankarea,"['comedy', ' ecchi', ' horror', ' romance', ' shounen', ' supernatural']",TV,Sankarea,small,veryhigh, sankarea comedy  ecchi  horror  romance  shounen  supernatural TV small veryhigh ,1475
1476,shimonetatoiugainengasonzaishinaitaikutsunasekai,"['comedy', ' ecchi', ' school']",TV,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,small,veryhigh, shimonetatoiugainengasonzaishinaitaikutsunasekai comedy  ecchi  school TV small veryhigh ,1476
1477,shinchoukyouryocondorhero,"['adventure', ' drama', ' historical', ' romance']",TV,Shin Chou Kyou Ryo: Condor Hero,small,moderate, shinchoukyouryocondorhero adventure  drama  historical  romance TV small moderate ,1477
1478,towanoquon1utakatanokaben,"['action', ' super power', ' supernatural']",Movie,Towa no Quon 1: Utakata no Kaben,tiny,high, towanoquon1utakatanokaben action  super power  supernatural Movie tiny high ,1478
1479,towanoquon2kontonnoranbu,"['action', ' mystery', ' super power', ' supernatural']",Movie,Towa no Quon 2: Konton no Ranbu,tiny,high, towanoquon2kontonnoranbu action  mystery  super power  supernatural Movie tiny high ,1479
1480,trinitysevenova,"['action', ' comedy', ' ecchi', ' fantasy', ' harem', ' magic', ' romance', ' school', ' supernatural']",OVA,Trinity Seven OVA,tiny,high, trinitysevenova action  comedy  ecchi  fantasy  harem  magic  romance  school  supernatural OVA tiny high ,1480
1481,ungo,"['mystery', ' supernatural']",TV,UN-GO,small,high, ungo mystery  supernatural TV small high ,1481
1482,utanoprincesamamajilove2000,"['comedy', ' harem', ' music', ' romance', ' school', ' shoujo']",TV,Uta no☆Prince-sama♪ Maji Love 2000 ,small,high, utanoprincesamamajilove2000 comedy  harem  music  romance  school  shoujo TV small high ,1482
1483,vampireknightguilty,"['drama', ' mystery', ' romance', ' shoujo', ' supernatural', ' vampire']",TV,Vampire Knight Guilty,small,veryhigh, vampireknightguilty drama  mystery  romance  shoujo  supernatural  vampire TV small veryhigh ,1483
1484,whistle,"['school', ' shounen', ' sports']",TV,Whistle ,small,moderate, whistle school  shounen  sports TV small moderate ,1484
1485,yomigaerusorarescuewings,"['drama', ' military', ' seinen']",TV,Yomigaeru Sora: Rescue Wings,small,moderate, yomigaerusorarescuewings drama  military  seinen TV small moderate ,1485
1486,yugiohthedarksideofdimensions,"['adventure', ' game', ' shounen']",Movie,Yu☆Gi☆Oh : The Dark Side of Dimensions,tiny,high, yugiohthedarksideofdimensions adventure  game  shounen Movie tiny high ,1486
1487,angeldensetsu,"['action', ' comedy', ' school']",OVA,Angel Densetsu,small,high, angeldensetsu action  comedy  school OVA small high ,1487
1488,blackcat,"['adventure', ' comedy', ' sci-fi', ' shounen', ' super power']",TV,Black Cat,small,veryhigh, blackcat adventure  comedy  sci-fi  shounen  super power TV small veryhigh ,1488
1489,flandersnoinu,"['drama', ' historical', ' slice of life']",TV,Flanders no Inu,medium,moderate, flandersnoinu drama  historical  slice of life TV medium moderate ,1489
1490,fuseteppoumusumenotorimonochou,"['action', ' drama', ' historical', ' supernatural']",Movie,Fuse: Teppou Musume no Torimonochou,tiny,high, fuseteppoumusumenotorimonochou action  drama  historical  supernatural Movie tiny high ,1490
1491,futuregpxcyberformula11,"['drama', ' sci-fi', ' shounen', ' sports']",OVA,Future GPX Cyber Formula 11,small,moderate, futuregpxcyberformula11 drama  sci-fi  shounen  sports OVA small moderate ,1491
1492,ghostintheshellariseborder3ghosttears,"['mecha', ' police', ' psychological', ' sci-fi']",Movie,Ghost in the Shell: Arise - Border:3 Ghost Tears,tiny,high, ghostintheshellariseborder3ghosttears mecha  police  psychological  sci-fi Movie tiny high ,1492
1493,glassnokamen,"['drama', ' romance', ' shoujo']",TV,Glass no Kamen,small,moderate, glassnokamen drama  romance  shoujo TV small moderate ,1493
1494,harmonie,"['drama', ' school', ' supernatural']",Movie,Harmonie,tiny,high, harmonie drama  school  supernatural Movie tiny high ,1494
1495,kamikazekaitoujeanne,"['adventure', ' comedy', ' demons', ' drama', ' fantasy', ' magic', ' mystery', ' romance', ' shoujo']",TV,Kamikaze Kaitou Jeanne,small,high, kamikazekaitoujeanne adventure  comedy  demons  drama  fantasy  magic  mystery  romance  shoujo TV small high ,1495
